과제,조모임,학점 비율,출결,시험 횟수,name,prof
보통,없음,학점느님,직접호명,두 번,역사란무엇인가,윤은주
보통,없음,비율 채워줌,직접호명,두 번,한국역사의이해,한준수
보통,없음,비율 채워줌,직접호명,두 번,한국역사의이해,이계형
보통,없음,학점느님,직접호명,두 번,한국역사의이해,남무희
보통,없음,비율 채워줌,전자출결,두 번,한국역사의이해,여성구
보통,없음,비율 채워줌,직접호명,두 번,한국역사의이해,양웅렬
보통,없음,비율 채워줌,직접호명,두 번,임시정부와독립운동,김성민
많음,없음,비율 채워줌,직접호명,두 번,임시정부와독립운동,황선익
없음,없음,학점느님,직접호명,한 번,삶과윤리,이근세
보통,보통,비율 채워줌,직접호명,한 번,삶과윤리,박규철
보통,보통,비율 채워줌,직접호명,한 번,삶과윤리,조종화
보통,보통,학점느님,직접호명,한 번,철학의물음들,박규철
없음,없음,매우 깐깐함,직접호명,한 번,철학의물음들,이근세
없음,없음,비율 채워줌,직접호명,두 번,철학의물음들,조종화
보통,없음,학점느님,직접호명,두 번,철학의물음들,피터리
보통,보통,학점느님,직접호명,두 번,시민정신과사회봉사,오지혜
보통,보통,학점느님,직접호명,두 번,시민정신과사회봉사,여현철
보통,보통,비율 채워줌,전자출결,세 번,클래시카,김한승
보통,없음,학점느님,전자출결,두 번,임시정부와독립운동,이계형
보통,없음,매우 깐깐함,직접호명,두 번,시민정신과사회봉사,남광규
보통,없음,학점느님,직접호명,두 번,한국문학의이해,최규익
보통,없음,비율 채워줌,직접호명,두 번,한국문학의이해,조재현
많음,많음,비율 채워줌,직접호명,한 번,한국문학의이해,서연주
보통,보통,비율 채워줌,직접호명,두 번,한국문학의이해,박진
보통,보통,비율 채워줌,직접호명,두 번,한국문학의이해,박인희
보통,없음,비율 채워줌,직접호명,두 번,한문과문화,조휘만
보통,보통,비율 채워줌,직접호명,두 번,한문과문화,장창호
없음,없음,비율 채워줌,직접호명,두 번,한문과문화,정환종
보통,없음,학점느님,직접호명,두 번,한문과문화,황선재
보통,없음,비율 채워줌,직접호명,두 번,한문과문화,이규일
보통,없음,비율 채워줌,직접호명,두 번,음악의이해,최윤자
보통,보통,학점느님,직접호명,두 번,미술의이해,홍수진
보통,보통,비율 채워줌,직접호명,두 번,미술의이해,임혜송
많음,많음,비율 채워줌,직접호명,한 번,디자인의이해,민세원
보통,보통,학점느님,직접호명,한 번,디자인의이해,윤나리
보통,보통,매우 깐깐함,직접호명,한 번,디자인의이해,이주연
보통,없음,비율 채워줌,직접호명,두 번,디자인의이해,박정관
많음,많음,비율 채워줌,직접호명,두 번,공연예술읽기(연극),이화
많음,많음,학점느님,직접호명,한 번,공연예술읽기(연극),문현정
보통,없음,비율 채워줌,직접호명,없음,공연예술읽기(연극),고성일
보통,보통,비율 채워줌,직접호명,없음,공연예술읽기(무용),이미하
보통,보통,학점느님,직접호명,한 번,공연예술읽기(무용),이진이
없음,많음,학점느님,직접호명,두 번,미술의이해,손상미
보통,없음,비율 채워줌,직접호명,두 번,시민사회와법,김재희
보통,없음,학점느님,직접호명,두 번,시민사회와법,황승흠
보통,없음,학점느님,직접호명,두 번,시민사회와법,박민
없음,많음,비율 채워줌,직접호명,네 번 이상,논리와소통,김명석
없음,없음,비율 채워줌,직접호명,두 번,논리와소통,조종화
보통,보통,비율 채워줌,직접호명,두 번,미디어와공동체,김성준
보통,많음,비율 채워줌,직접호명,두 번,미디어와공동체,신현덕
보통,없음,비율 채워줌,직접호명,한 번,소통과토론,정관용
보통,보통,매우 깐깐함,직접호명,두 번,소통과토론,김은정
없음,보통,비율 채워줌,직접호명,두 번,소통과토론,한희정
없음,없음,비율 채워줌,전자출결,두 번,시민사회와경제,현진권
없음,없음,비율 채워줌,직접호명,두 번,시민사회와경제,채창균
보통,없음,비율 채워줌,직접호명,두 번,시민사회와경제,김주섭
보통,없음,매우 깐깐함,직접호명,두 번,시민사회와정치,구경서
보통,보통,비율 채워줌,직접호명,두 번,시민사회와정치,김경래
보통,없음,비율 채워줌,직접호명,두 번,시민사회와정치,김학량
없음,없음,비율 채워줌,직접호명,두 번,시민사회와정치,강상호
없음,없음,학점느님,직접호명,두 번,시민사회와정치,안현상
보통,보통,학점느님,직접호명,두 번,개인과사회,오지혜
없음,없음,학점느님,전자출결,두 번,회계와사업계획서,박경재
보통,없음,학점느님,직접호명,두 번,미디어와공동체,조인숙
보통,없음,비율 채워줌,직접호명,한 번,개인과사회,여현철
보통,많음,비율 채워줌,직접호명,한 번,현대사회와여성,김선영
많음,많음,비율 채워줌,직접호명,두 번,기업가정신과창업,김종택
많음,보통,비율 채워줌,직접호명,두 번,기업가정신과창업,김성일
보통,없음,학점느님,직접호명,두 번,마음과행동,우상우
보통,없음,학점느님,직접호명,두 번,마음과행동,김지연
보통,없음,학점느님,전자출결,두 번,마음과행동,남숙경
없음,없음,학점느님,직접호명,한 번,문명과세계화의도전,안드레이 란코프
없음,보통,비율 채워줌,직접호명,두 번,리더십챌린지,변영실
보통,많음,학점느님,직접호명,한 번,리더십챌린지,이동희
보통,보통,비율 채워줌,직접호명,두 번,리더십챌린지,민은홍
보통,보통,학점느님,직접호명,한 번,현대동아시아의이해,박창건
없음,없음,비율 채워줌,직접호명,두 번,현대동아시아의이해,장덕준
없음,없음,비율 채워줌,직접호명,두 번,세계문학의이해,이일환
보통,없음,비율 채워줌,직접호명,두 번,세계문학의이해,방승희
보통,보통,비율 채워줌,직접호명,한 번,세계문학의이해,권은영
없음,없음,비율 채워줌,직접호명,두 번,세계역사의이해,윤은주
보통,없음,비율 채워줌,직접호명,두 번,세계역사의이해,고재백
없음,보통,학점느님,직접호명,두 번,한국사회와문화,유양석
없음,없음,학점느님,직접호명,두 번,문명과세계화의도전,안현상
보통,없음,비율 채워줌,혼용,두 번,수학과문명,전재복
보통,보통,비율 채워줌,직접호명,두 번,생활속의스포츠,조영희
없음,많음,학점느님,직접호명,두 번,생활속의스포츠,이원재
보통,없음,매우 깐깐함,직접호명,두 번,생활속의스포츠,김의진
보통,보통,비율 채워줌,직접호명,두 번,생활속의스포츠,김동현
없음,없음,비율 채워줌,전자출결,두 번,과학과창의적사고,장지훈
없음,없음,비율 채워줌,직접호명,두 번,생명의이해,이석묵
보통,없음,매우 깐깐함,직접호명,두 번,생명의이해,이지선
없음,없음,비율 채워줌,직접호명,한 번,과학기술과인간사고의변화,이근세
없음,많음,학점느님,지정좌석,네 번 이상,과학기술과인간사고의변화,김명석
없음,없음,비율 채워줌,직접호명,두 번,지구생태계와인간,김종성
보통,없음,학점느님,직접호명,두 번,지구생태계와인간,경종인
보통,없음,비율 채워줌,직접호명,두 번,정보통신과창의적사고,주용수
보통,보통,학점느님,직접호명,두 번,정보통신과창의적사고,윤종영
보통,없음,비율 채워줌,전자출결,두 번,정보통신과창의적사고,한광수
없음,없음,학점느님,전자출결,두 번,소프트웨어혁명,임성수
보통,없음,학점느님,전자출결,두 번,수학과문명,박태훈
없음,없음,비율 채워줌,직접호명,두 번,중국어I,박봉순
보통,없음,비율 채워줌,직접호명,두 번,중국어I,채예령
없음,없음,학점느님,직접호명,두 번,불어,홍승현
보통,없음,비율 채워줌,직접호명,두 번,일본어I,유춘희
많음,없음,F 폭격기,직접호명,두 번,일본어I,류미나
보통,보통,학점느님,전자출결,두 번,영상을통한영어,서지영
없음,없음,비율 채워줌,직접호명,두 번,초급중국어회화,채예령
없음,없음,F 폭격기,직접호명,두 번,일본어II,류미나
보통,보통,비율 채워줌,전자출결,두 번,영화독해,임미진
없음,보통,비율 채워줌,전자출결,두 번,영화독해,김혜정
없음,없음,비율 채워줌,전자출결,두 번,영화작문,이지현
많음,많음,비율 채워줌,직접호명,두 번,고전과패러디,조유선
보통,없음,학점느님,직접호명,두 번,영미단편소설강독,이인규
보통,많음,비율 채워줌,전자출결,두 번,영화듣기,류도형
보통,보통,비율 채워줌,전자출결,두 번,영화듣기,노윤아
없음,없음,학점느님,직접호명,두 번,중국어II,이설화
보통,보통,비율 채워줌,직접호명,한 번,Business English,류도형
보통,보통,학점느님,직접호명,두 번,한국어의화용,이효정
보통,보통,학점느님,직접호명,두 번,Cultural Business Discussions,브라이언 로버슨
없음,없음,학점느님,직접호명,두 번,기초스페인어,전수진
보통,없음,비율 채워줌,전자출결,두 번,문화인류학의이해,이규호
보통,보통,학점느님,직접호명,한 번,그리스비극,박규철
없음,없음,매우 깐깐함,직접호명,두 번,동아시아근대사와인물,류미나
없음,없음,학점느님,직접호명,한 번,한국도시생활사(1880-2000),안드레이 란코프
보통,없음,비율 채워줌,직접호명,한 번,예술과철학,김한승
없음,없음,매우 깐깐함,직접호명,세 번,Introduction to Ancient Greek Art,안나 마일즈
없음,없음,학점느님,전자출결,두 번,문화권으로보는한국사,여성구
없음,없음,학점느님,직접호명,두 번,증권투자의이해,김인수
보통,없음,매우 깐깐함,직접호명,두 번,맑시즘의이해,김경래
보통,없음,비율 채워줌,직접호명,한 번,정치전략과전략기획,김학량
없음,없음,학점느님,전자출결,두 번,교양재테크,황동하
보통,없음,학점느님,직접호명,없음,취·창업역량과전략,이종일
보통,보통,학점느님,직접호명,없음,취·창업역량과전략,이동진
보통,없음,학점느님,직접호명,없음,취·창업과진로설계,강주성
많음,없음,학점느님,직접호명,없음,취·창업과진로설계,김태완
많음,없음,학점느님,직접호명,없음,취·창업과진로설계,박희주
보통,보통,매우 깐깐함,직접호명,한 번,일본대중문화론,류미나
보통,없음,학점느님,직접호명,없음,채용시장의이해,하차진
보통,없음,비율 채워줌,직접호명,한 번,이슬람권문화의이해,김동억
없음,없음,비율 채워줌,직접호명,두 번,"예술,창작과저작권",나강
보통,없음,매우 깐깐함,직접호명,두 번,영상속일본문화읽기,유춘희
없음,많음,비율 채워줌,직접호명,한 번,영상속일본문화읽기,류미나
많음,없음,매우 깐깐함,직접호명,두 번,South Korean-U.S. Relations,피터김
없음,없음,학점느님,직접호명,두 번,지식재산개론,홍정표
없음,보통,비율 채워줌,직접호명,한 번,지식재산개론,정용재
보통,없음,비율 채워줌,전자출결,한 번,현대문명과재료,남호석
보통,없음,비율 채워줌,직접호명,두 번,신에너지의생활화,황승식
보통,없음,비율 채워줌,직접호명,한 번,환경과학의이해,김동하
없음,없음,학점느님,직접호명,두 번,자동차기술,최웅철
보통,없음,비율 채워줌,직접호명,두 번,현대인의식생활과건강,남혜경
보통,없음,비율 채워줌,직접호명,두 번,식생활의문화적이해,남혜경
보통,없음,학점느님,직접호명,두 번,목재의비밀,김범준
보통,없음,비율 채워줌,직접호명,한 번,숲,김기원
보통,없음,비율 채워줌,전자출결,두 번,목재와문명,차재경
보통,없음,매우 깐깐함,직접호명,두 번,현대사회와에너지,김영숙
보통,없음,매우 깐깐함,직접호명,한 번,초급농구,이충희
보통,없음,매우 깐깐함,직접호명,한 번,수영,김동현
보통,없음,비율 채워줌,직접호명,두 번,탁구,이운용
보통,없음,학점느님,직접호명,두 번,테니스,장의종
보통,없음,비율 채워줌,직접호명,두 번,스포츠댄스,전해리
보통,없음,비율 채워줌,직접호명,두 번,초급골프,김재환
보통,없음,비율 채워줌,직접호명,두 번,영화의이해,이현재
없음,없음,비율 채워줌,직접호명,한 번,기초검도,신승호
많음,없음,비율 채워줌,직접호명,없음,공연줍기,문영
보통,많음,비율 채워줌,직접호명,두 번,드라마속인생경험,김나리
보통,없음,비율 채워줌,직접호명,한 번,발레와과학이야기,문영
없음,없음,학점느님,직접호명,두 번,스키및스노보드,이운용
